N_do_CicloneDATA,,Longitude,Latitude,Vorticidade
11,2011-01-01 00:00:00, 309.382019, -51.694752, 5.458378e+00
11,2011-01-01 01:00:00, 310.868500, -51.828583, 5.619542e+00
11,2011-01-01 02:00:00, 312.306610, -51.944645, 5.792087e+00
11,2011-01-01 03:00:00, 313.673126, -52.036026, 6.009722e+00
11,2011-01-01 04:00:00, 314.913300, -52.125198, 6.230818e+00
11,2011-01-01 05:00:00, 316.078430, -52.215500, 6.396791e+00
11,2011-01-01 06:00:00, 317.257812, -52.308914, 6.531696e+00
11,2011-01-01 07:00:00, 318.388763, -52.384319, 6.680102e+00
11,2011-01-01 08:00:00, 319.587555, -52.465649, 6.855870e+00
11,2011-01-01 09:00:00, 320.796631, -52.532471, 7.083332e+00
11,2011-01-01 10:00:00, 321.981354, -52.583206, 8.004938e+00
11,2011-01-01 11:00:00, 323.238525, -52.689533, 8.243516e+00
11,2011-01-01 12:00:00, 324.437531, -52.782684, 8.513500e+00
11,2011-01-01 13:00:00, 325.577881, -52.870136, 8.760776e+00
11,2011-01-01 14:00:00, 326.681519, -52.954472, 8.960295e+00
11,2011-01-01 15:00:00, 327.819672, -53.033905, 9.097744e+00
11,2011-01-01 16:00:00, 328.949371, -53.098793, 9.208408e+00
11,2011-01-01 17:00:00, 330.069855, -53.175755, 9.326427e+00
11,2011-01-01 18:00:00, 331.164825, -53.260567, 9.458673e+00
11,2011-01-01 19:00:00, 332.237976, -53.363831, 9.622032e+00
11,2011-01-01 20:00:00, 333.228943, -53.450439, 9.816027e+00
11,2011-01-01 21:00:00, 334.144073, -53.512581, 1.002448e+01
11,2011-01-01 22:00:00, 335.047333, -53.623146, 1.083399e+01
11,2011-01-01 23:00:00, 335.873871, -53.686314, 1.104615e+01
11,2011-01-02 00:00:00, 336.720459, -53.730927, 1.114968e+01
11,2011-01-02 01:00:00, 337.591187, -53.755840, 1.115914e+01
11,2011-01-02 02:00:00, 338.483368, -53.790718, 1.110015e+01
11,2011-01-02 03:00:00, 339.363892, -53.848324, 1.102072e+01
11,2011-01-02 04:00:00, 340.155640, -53.921040, 1.093819e+01
11,2011-01-02 05:00:00, 340.911102, -54.005356, 1.087907e+01
11,2011-01-02 06:00:00, 341.659485, -54.092289, 1.084458e+01
11,2011-01-02 07:00:00, 342.365784, -54.167038, 1.083466e+01
11,2011-01-02 08:00:00, 343.078369, -54.235897, 1.080128e+01
11,2011-01-02 09:00:00, 343.815491, -54.301186, 1.072926e+01
11,2011-01-02 10:00:00, 344.914215, -54.314934, 1.075503e+01
11,2011-01-02 11:00:00, 345.749512, -54.403587, 1.053793e+01
11,2011-01-02 12:00:00, 346.620331, -54.537834, 1.030898e+01
11,2011-01-02 13:00:00, 347.370789, -54.679981, 1.008473e+01
11,2011-01-02 14:00:00, 347.940186, -54.792210, 9.894354e+00
11,2011-01-02 15:00:00, 348.406708, -54.869335, 9.768017e+00
11,2011-01-02 16:00:00, 348.897614, -54.930229, 9.665037e+00
11,2011-01-02 17:00:00, 349.444916, -55.002144, 9.585303e+00
11,2011-01-02 18:00:00, 350.046112, -55.090389, 9.482102e+00
11,2011-01-02 19:00:00, 350.685181, -55.198807, 9.355468e+00
11,2011-01-02 20:00:00, 351.269928, -55.309444, 9.235770e+00
11,2011-01-02 21:00:00, 351.774353, -55.392147, 9.122857e+00
11,2011-01-02 22:00:00, 352.333252, -55.579529, 9.150544e+00
11,2011-01-02 23:00:00, 352.693512, -55.587746, 9.100245e+00
11,2011-01-03 00:00:00, 353.112061, -55.628235, 9.035900e+00
11,2011-01-03 01:00:00, 353.658966, -55.736805, 8.929279e+00
11,2011-01-03 02:00:00, 354.281677, -55.883144, 8.805777e+00
11,2011-01-03 03:00:00, 354.949280, -56.040478, 8.665349e+00
11,2011-01-03 04:00:00, 355.593079, -56.176758, 8.531064e+00
11,2011-01-03 05:00:00, 356.175812, -56.284023, 8.412363e+00
11,2011-01-03 06:00:00, 356.684418, -56.364731, 8.312126e+00
11,2011-01-03 07:00:00, 357.179993, -56.446369, 8.244268e+00
11,2011-01-03 08:00:00, 357.660461, -56.527214, 8.202165e+00
11,2011-01-03 09:00:00, 358.171204, -56.621815, 8.162383e+00
11,2011-01-03 10:00:00, 358.313049, -56.557529, 8.150146e+00
11,2011-01-03 11:00:00, 358.875397, -56.688606, 7.993601e+00
11,2011-01-03 12:00:00, 359.577911, -56.873039, 7.803575e+00
11,2011-01-03 13:00:00, 0.348762, -57.078892, 7.617933e+00
11,2011-01-03 14:00:00, 1.080686, -57.250435, 7.432431e+00
11,2011-01-03 15:00:00, 1.734111, -57.395042, 7.242554e+00
11,2011-01-03 16:00:00, 2.345999, -57.521118, 7.047769e+00
11,2011-01-03 17:00:00, 2.860568, -57.613159, 6.873086e+00
11,2011-01-03 18:00:00, 3.266862, -57.660313, 6.738070e+00
11,2011-01-03 19:00:00, 3.617198, -57.678707, 6.654190e+00
11,2011-01-03 20:00:00, 4.023065, -57.729942, 6.602111e+00
11,2011-01-03 21:00:00, 4.515463, -57.823910, 6.562484e+00
11,2011-01-03 22:00:00, 5.724111, -57.916016, 6.716809e+00
11,2011-01-03 23:00:00, 6.593112, -58.147449, 6.683243e+00
11,2011-01-04 00:00:00, 7.549201, -58.398273, 6.627231e+00
11,2011-01-04 01:00:00, 8.518980, -58.628754, 6.554549e+00
11,2011-01-04 02:00:00, 9.357227, -58.807568, 6.484674e+00
11,2011-01-04 03:00:00, 10.056871, -58.953396, 6.402644e+00
11,2011-01-04 04:00:00, 10.706458, -59.084969, 6.306136e+00
11,2011-01-04 05:00:00, 11.358026, -59.214008, 6.188931e+00
11,2011-01-04 06:00:00, 12.003988, -59.346870, 6.064584e+00
11,2011-01-04 07:00:00, 12.640369, -59.490940, 5.940415e+00
11,2011-01-04 08:00:00, 13.197708, -59.609978, 5.830863e+00
11,2011-01-04 09:00:00, 13.691154, -59.692699, 5.739232e+00
11,2011-01-04 10:00:00, 13.461166, -59.238441, 5.768859e+00
11,2011-01-04 11:00:00, 14.156448, -59.279961, 5.695706e+00
11,2011-01-04 12:00:00, 15.001613, -59.384117, 5.581784e+00
11,2011-01-04 13:00:00, 15.887207, -59.528946, 5.422820e+00
11,2011-01-04 14:00:00, 16.779972, -59.685410, 5.279784e+00
11,2011-01-04 15:00:00, 17.602930, -59.847454, 5.174167e+00
11,2011-01-04 16:00:00, 18.385233, -60.013622, 5.118765e+00
11,2011-01-04 17:00:00, 19.201948, -60.197071, 5.109970e+00
11,2011-01-04 18:00:00, 20.156801, -60.401619, 5.113171e+00
11,2011-01-04 19:00:00, 21.227009, -60.629223, 5.097145e+00
11,2011-01-04 20:00:00, 22.330605, -60.875278, 5.025491e+00
11,2011-01-04 21:00:00, 23.497013, -61.186752, 4.902745e+00
11,2011-01-04 22:00:00, 24.306993, -61.504906, 4.825296e+00
11,2011-01-04 23:00:00, 25.646471, -62.049641, 4.690203e+00
11,2011-01-05 00:00:00, 27.108755, -62.718174, 4.614964e+00
11,2011-01-05 01:00:00, 28.447725, -63.233635, 4.617091e+00
11,2011-01-05 02:00:00, 29.547359, -63.522011, 4.682517e+00
11,2011-01-05 03:00:00, 30.505251, -63.680553, 4.789708e+00
11,2011-01-05 04:00:00, 31.391937, -63.804443, 4.906229e+00
11,2011-01-05 05:00:00, 32.243965, -63.940845, 4.987468e+00
11,2011-01-05 06:00:00, 32.969254, -64.074173, 5.025269e+00
11,2011-01-05 07:00:00, 33.545593, -64.194748, 5.016548e+00
11,2011-01-05 08:00:00, 33.965302, -64.302147, 4.984500e+00
11,2011-01-05 09:00:00, 34.289295, -64.387108, 4.939676e+00
11,2011-01-05 10:00:00, 34.328880, -64.435173, 5.204875e+00
11,2011-01-05 11:00:00, 34.531952, -64.366348, 5.131869e+00
11,2011-01-05 12:00:00, 34.829571, -64.259247, 5.047916e+00
11,2011-01-05 13:00:00, 35.212357, -64.137985, 4.980067e+00
11,2011-01-05 14:00:00, 35.646770, -64.024040, 4.934614e+00
11,2011-01-05 15:00:00, 36.132137, -63.962780, 4.916010e+00
11,2011-01-05 16:00:00, 36.662960, -63.914680, 4.906994e+00
